,Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
2941,5.5,0.01,0,10000,1,84,0.055710659,0.001130276,0.03577661,0.000546303,10877.2511,23233573.53,916,0,10000,0,10000,1,0.472365,0,10000,0,0
2942,5.5,0.01,0,10000,1,84,0.03884763,0.000237643,0.023628989,9.62E-05,12824.26535,12831981.49,916,0,10000,0,10000,1,0.314929,0,10000,0,0
2943,5.5,0.01,0,10000,1,82,0.042177937,0.000581748,0.026078877,0.000247299,12778.01313,15594839.16,918,0,10000,0,10000,1,0.37392,0,10000,0,0
2944,5.5,0.01,0,10000,1,85,0.049145916,0.000474261,0.031792236,0.000235352,11587.22942,17289658,915,0,10000,0,10000,1,0.249394,0,10000,0,0
2945,5.5,0.01,0,10000,1,92,0.052027332,0.001949581,0.032971525,0.000865753,12019.01438,23511777.59,908,0,10000,0,10000,1,0.373426,0,10000,0,0
2946,5.5,0.01,0,10000,1,76,0.036780695,0.000195032,0.022114527,7.82E-05,12937.15978,11223516.04,924,0,10000,0,10000,1,0.29069,0,10000,0,0
2947,5.5,0.01,0,10000,1,95,0.043463311,0.000939621,0.027398978,0.000452062,13258.01665,18558504.98,905,0,10000,0,10000,1,0.373429,0,10000,0,0
2948,5.5,0.01,0,10000,1,84,0.03668357,0.000151396,0.022749121,7.22E-05,13706.92982,15121463.35,916,0,10000,0,10000,1,0.406736,0,10000,0,0
2949,5.5,0.01,0,10000,1,79,0.042337915,0.000198098,0.026595206,9.21E-05,12465.61287,8818647.352,921,0,10000,0,10000,1,0.198631,0,10000,0,0
2950,5.5,0.01,0,10000,1,76,0.041591772,0.000165663,0.02533931,6.11E-05,11731.15109,8376422.622,924,0,10000,0,10000,1,0.375364,0,10000,0,0
2951,5.5,0.01,0,10000,1,82,0.041148768,0.000345051,0.02495533,0.000141929,12688.81072,14555212.29,918,0,10000,0,10000,1,0.340187,0,10000,0,0
2952,5.5,0.01,0,10000,1,80,0.053267601,0.001215657,0.034540691,0.00057567,11122.92576,16610352.32,920,0,10000,0,10000,1,0.342733,0,10000,0,0
2953,5.5,0.01,0,10000,1,88,0.044849062,0.000267368,0.028054769,0.000136451,11179.78965,10509944.58,912,0,10000,0,10000,1,0.394191,0,10000,0,0
2954,5.5,0.01,0,10000,1,88,0.04274979,0.00127537,0.027542666,0.000657068,13017.75551,19486644.19,912,0,10000,0,10000,1,0.39922,0,10000,0,0
2955,5.5,0.01,0,10000,1,85,0.040781683,0.000134121,0.025631468,6.03E-05,11727.93414,7984861.33,915,0,10000,0,10000,1,0.442338,0,10000,0,0
2956,5.5,0.01,0,10000,1,79,0.046758178,0.000861783,0.029460443,0.000442088,12229.45583,15975850.04,921,0,10000,0,10000,1,0.32661,0,10000,0,0
