Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
110000,1,65,1,23,0.219077503,0.015647306,483.2702703,338088.2513,41,0,10000,0,10000,0,10000
110000,1,498,1,27,0.10653851,0.008749282,8645.793548,359667659.6,469,0,10000,0,10000,0,10000
110000,1,365,1,23,0.113979968,0.00844938,4746.184524,84566296.72,340,0,10000,0,10000,0,10000
110000,1,648,1,24,0.103104464,0.004160176,2574.098706,27067599.86,622,0,10000,0,10000,0,10000
110000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,58,1,27,0.141463915,0.004288777,966.1923077,1000780.617,30,0,10000,0,10000,0,10000
110000,1,53,1,26,0.100342927,0.00282789,1039.227273,937341.9938,26,0,10000,0,10000,0,10000
110000,1,111,1,28,0.129213872,0.00472012,1682.320513,4737503.372,82,0,10000,0,10000,0,10000
110000,1,62,1,23,0.133425171,0.006866028,685.8235294,684543.8512,38,0,10000,0,10000,0,10000
110000,1,149,1,22,0.089347074,0.003761221,4387.710744,35459381.78,125,0,10000,0,10000,0,10000
110000,0,10000,1,28,0.086334379,0.003906322,5223.904145,101733538.4,390,1,418,0,10000,0,10000
110000,1,89,1,23,0.163859861,0.021933521,2734.311475,23068255.62,65,0,10000,0,10000,0,10000
110000,1,150,1,24,0.097403764,0.002242433,2690.454545,12418494.12,125,0,10000,0,10000,0,10000
110000,1,242,1,27,0.147064977,0.012182361,1600.9,4453794.271,214,0,10000,0,10000,0,10000
110000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,126,1,25,0.093829922,0.004827806,2532.819149,5631336.935,98,0,10000,0,10000,0,10000
110000,1,62,1,23,0.169258433,0.007073398,658.1515152,856785.8861,37,0,10000,0,10000,0,10000
110000,1,120,1,25,0.08677101,0.003565474,5157.433333,37484034.98,94,0,10000,0,10000,0,10000
110000,1,150,1,25,0.122141261,0.014093684,5756.933333,48368155.31,124,0,10000,0,10000,0,10000
110000,1,130,1,22,0.093715726,0.006490508,1282.588235,1725460.183,106,0,10000,0,10000,0,10000
120000,0,10000,1,23,0.112016586,0.002665152,1398.827586,3598177.798,33,1,56,0,10000,0,10000
120000,1,195,1,27,0.085983343,0.003533642,4624.840491,59541304,167,0,10000,0,10000,0,10000
120000,1,139,1,28,0.13729603,0.004473638,1380.518868,2963695.061,110,0,10000,0,10000,0,10000
120000,1,60,1,23,0.102276475,0.002399505,2059.21875,9151830.921,36,0,10000,0,10000,0,10000
120000,1,83,1,26,0.11591571,0.003442004,3106.192308,13348478.42,56,0,10000,0,10000,0,10000
120000,1,33,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,94,1,28,0.139969534,0.007072254,1737.393443,7595335.386,65,0,10000,0,10000,0,10000
120000,1,97,1,23,0.152134061,0.01162863,992.5507246,2319086.798,73,0,10000,0,10000,0,10000
120000,1,641,1,26,0.095228254,0.005051934,3232.495895,62761653.99,613,0,10000,0,10000,0,10000
120000,1,27,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,189,1,23,0.1316729,0.00616485,2174.807453,11036989.46,165,0,10000,0,10000,0,10000
120000,1,58,1,28,0.169975632,0.009198498,1546.76,2529596.982,29,0,10000,0,10000,0,10000
120000,0,10000,1,23,0.095135113,0.004740984,8708.547619,251629979.7,172,1,195,0,10000,0,10000
120000,1,41,1,24,0.216045818,0.005506294,184,16454.90909,15,0,10000,0,10000,0,10000
120000,1,66,1,24,0.142453746,0.005908781,2370.243243,9820133.644,41,0,10000,0,10000,0,10000
120000,1,41,1,24,0.356997764,0.022771761,84.18181818,6722.876033,15,0,10000,0,10000,0,10000
120000,1,83,1,23,0.081884442,0.000883275,2241.109091,2954750.497,59,0,10000,0,10000,0,10000
